"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00449399480263618,3,18,24.5337552742616,"GO:0030656 Regulation of vitamin metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0030656"," SNAI1  AKR1C3  TNF"
0.00450580430638034,33,2574,1.88721194417397,"GO:0003008 System process ","https://amigo.geneontology.org/amigo/term/GO:0003008"," EDN1  EDN2  BDKRB2  APOE  LMCD1  LXN  TIMP3  ACTA2  EPAS1  TGFBI  SOX9  BTG2  AQP3  BEST1  ADCY5  DDIT3  FOSL1  SPNS2  GAS6  ALDH1A3  SELENOM  TNF  ZNF488  KLF2  STRA6  MGLL  SLC5A5  ABCC3  AKR1C3  HMOX1  RGS16  DHRS3  AKR1C1"
0.00450580430638034,19,1125,2.48608720112518,"GO:0031399 Regulation of protein modification process ","https://amigo.geneontology.org/amigo/term/GO:0031399"," EDN1  CDKN1A  C3  LIF  APOE  SESN2  IGFBP3  GAS6  TNF  CCL5  PPP2R5B  FGF22  BAX  GADD45A  BDKRB2  NUPR1  EPAS1  PARP10  CSF1"
0.00450580430638034,8,239,4.92728139399396,"GO:0060541 Respiratory system development ","https://amigo.geneontology.org/amigo/term/GO:0060541"," TNF  EPAS1  SOX9  EDN2  KLF2  LIF  ALDH1A3  STRA6"
0.00471251990170363,12,523,3.37749594597865,"GO:0010876 Lipid localization ","https://amigo.geneontology.org/amigo/term/GO:0010876"," APOE  STRA6  FABP6  SPNS2  C3  BDKRB2  TNF  EDN1  ABCC3  TSKU  SELENOM  AKR1C1"
0.00475795081479304,7,182,5.66163583252191,"GO:1903900 Regulation of viral life cycle ","https://amigo.geneontology.org/amigo/term/GO:1903900"," OAS1  APOBEC3H  OASL  IL32  IFIT1  TNF  CCL5"
0.00489299910852614,32,2477,1.90168793405661,"GO:0009890 Negative regulation of biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0009890"," APOBEC3H  FHL2  ID3  SOX9  DDIT3  PARP10  NANOS1  EDN1  ZNF423  SNAI1  KLF2  APOE  LOXL2  BTG2  ATF3  GAS6  AKR1C3  TNF  HES2  LMCD1  RELB  RASD1  CDKN1A  SESN2  ATOH8  MAF  TSKU  H1-2  ZNF488  OAS1  GADD45A  FOSB"
0.00493867675076031,6,130,6.79396299902629,"GO:0042303 Molting cycle ","https://amigo.geneontology.org/amigo/term/GO:0042303"," KRT83  KRT16  SNAI1  SOX9  TSKU  TNF"
0.00493867675076031,6,130,6.79396299902629,"GO:0042633 Hair cycle ","https://amigo.geneontology.org/amigo/term/GO:0042633"," KRT83  KRT16  SNAI1  SOX9  TSKU  TNF"
0.00495739844521188,2,4,73.6012658227848,"GO:0009753 Response to jasmonic acid ","https://amigo.geneontology.org/amigo/term/GO:0009753"," AKR1C1  AKR1C3"
