"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0421651679920439,2,4,14.518102372035,"GO:0000403 Y-form dna binding ","https://amigo.geneontology.org/amigo/term/GO:0000403"," RAD18  BLM"
0.0421651679920439,2,4,14.518102372035,"GO:0061821 Telomeric d-loop binding ","https://amigo.geneontology.org/amigo/term/GO:0061821"," POT1  BLM"
0.0421651679920439,2,4,14.518102372035,"GO:1905762 Ccr4-not complex binding ","https://amigo.geneontology.org/amigo/term/GO:1905762"," MARF1  RC3H1"
0.0438109650119445,3,12,7.25905118601748,"GO:0140996 Histone h3 kinase activity ","https://amigo.geneontology.org/amigo/term/GO:0140996"," CHEK1  HASPIN  JAK2"
0.0438804486585166,9,99,2.63965497673363,"GO:0008186 Atp-dependent activity acting on rna ","https://amigo.geneontology.org/amigo/term/GO:0008186"," MTREX  DHX36  DDX3X  AQR  DHX15  BRIP1  DDX46  DHX57  RAD54B"
0.0447719413998185,4,23,5.04977473809912,"GO:0050321 Tau-protein kinase activity ","https://amigo.geneontology.org/amigo/term/GO:0050321"," PRKAA1  ROCK1  ROCK2  TAOK1"
0.0453783304556613,17,255,1.93574698293799,"GO:0005085 Guanyl-nucleotide exchange factor activity ","https://amigo.geneontology.org/amigo/term/GO:0005085"," ARHGEF28  DOCK9  RAPGEF2  RALGPS2  DOCK7  SBF2  RAPGEF6  GAPVD1  ARFGEF1  DIS3  ECT2  DENND4C  C9orf72  DENND4A  DENND1B  ITSN2  RAB3GAP1"
0.0516859521817455,4,24,4.83936745734499,"GO:0008409 5-prime-3-prime exonuclease activity ","https://amigo.geneontology.org/amigo/term/GO:0008409"," XRN1  DCLRE1C  EXO1  DCLRE1A"
0.0519945955577406,6,52,3.35033131662345,"GO:0005048 Signal sequence binding ","https://amigo.geneontology.org/amigo/term/GO:0005048"," TNPO1  NUP153  RANBP6  KPNA2  KPNA5  AP2B1"
0.0533164114387042,3,13,6.7006626332469,"GO:0043560 Insulin receptor substrate binding ","https://amigo.geneontology.org/amigo/term/GO:0043560"," JAK2  PIK3CA  PIK3R1"
0.0533164114387042,3,13,6.7006626332469,"GO:0140333 Glycerophospholipid flippase activity ","https://amigo.geneontology.org/amigo/term/GO:0140333"," ATP11C  ATP8A1  ATP11B"
0.055998706623993,7,69,2.94570193055782,"GO:0043539 Protein serine/threonine kinase activator activity ","https://amigo.geneontology.org/amigo/term/GO:0043539"," DBF4  CCNT1  NBN  IQGAP1  TOPBP1  DDX3X  TAOK1"
