"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAI14",9.02075447311796,-1.40128558403784,0.850951991895361,-1.6467269568483,0.0996141807966933,NA
"GUSBP18",2.92050404834122,-1.12751887930916,1.33390646167943,-0.845275820831981,0.397956857753817,NA
"NPR3",9.86844367326724,0.431400496776341,0.706866829698207,0.610299534016224,0.541663405568335,NA
"LOC105374711",7.4251885263089,-1.42740565846999,0.916854080761929,-1.55685150823977,0.119505744708383,NA
"LOC107986346",1.89832369501045,0.580882467918867,1.33931943746818,0.433714655121376,0.664495663139881,NA
"PURPL",2.42990534000316,1.41233356890392,1.42057092277901,0.994201377950936,0.320124837402033,NA
"LOC101929617",3.16348002195624,-1.2313591004596,1.10702919826307,-1.1123095058302,0.266005098145641,NA
"CDH12",2.41239018167673,-1.33467260122068,2.17845076887247,-0.612670536461781,0.54009420803242,NA
"LOC124900949",1.97402357849689,-1.95865490546452,2.00108402166021,-0.978796934193453,0.327680324846805,NA
"LINC02100",4.32694448417144,-0.505870765534326,1.04201246743474,-0.485474772465721,0.627339603651585,NA
"LOC646012",4.55383715275597,2.49699782055322,1.10180073580644,2.26628803140668,0.0234337537433277,NA
"BASP1-AS1",4.78481649728642,1.33653505175278,0.90172598161782,1.48219645324497,0.13828803003695,NA
"RETREG1-AS1",4.02929690654374,1.33395144380363,1.25312397858323,1.06450077294968,0.287101904433801,NA
"LOC105374654",1.65903059937367,4.68187650804393,1.9974384148542,2.34394035542051,0.0190812225332887,NA
"DAP-DT",7.49998626519197,0.930878422813832,0.910361735757264,1.02253685128747,0.306526880307751,NA
"ROPN1L",9.53258263882362,0.923736825586912,0.690871235464344,1.33706076931406,0.181202801431228,NA
"LOC105374651",3.79363978416204,-0.413103582765876,1.50838670675679,-0.273871137232506,0.784183652993017,NA
"LOC124900936",1.06864298330098,0.94772912581915,2.46742546325333,0.384096354655252,0.700907033217936,NA
"C5orf49",4.03364125927158,-0.339916893565252,1.16242793347307,-0.292419756766907,0.769965704329636,NA
"LOC102724943",7.56146803207962,-0.409055220058918,0.707815768510984,-0.57791199102478,0.563323539233182,NA
"LOC101929200",4.79257365304849,-0.960899662199672,1.1291129925109,-0.851021703384035,0.394757296729934,NA
"LOC124901164",1.674096558263,1.86461480071613,2.26025110872288,0.824959135522647,0.409394791202274,NA
"LOC101929003",1.70795126022519,-1.24935577510824,1.73137450486602,-0.721597650650931,0.470541883992679,NA
"LOC112267946",1.06526882619323,-0.0343944620230819,2.52022205160037,-0.0136473934910779,0.989111293445364,NA
"LOC100132773",1.12510323694897,-1.131099984632,2.15761820327322,-0.524235466180282,0.600114775883763,NA
"LOC107986397",7.40975283834116,-0.0202283483757669,1.00016961625251,-0.0202249179009852,0.983863950338733,NA
"LOC124901161",2.09594853410085,-0.159656688017047,1.42224825553554,-0.112256553942426,0.910619988929793,NA
"MIR6075",1.13357404070281,-3.01282969838304,2.61486702658571,-1.15219231714316,0.249242054065068,NA
"TERT",7.71892685574552,-0.970940129615807,0.825450339224567,-1.17625504948961,0.239492972355339,NA
"SLC6A19",2.02654131802782,-1.22746282145352,1.74507728851372,-0.703385935701995,0.481815268916477,NA
"PLEKHG4B",6.69806339440133,-2.17172378336291,0.968913967853747,-2.24140001632293,0.0250001754660297,NA
"LOC124900509",2.06726367600351,0.845559558382502,1.52723741137746,0.553652989432642,0.579816353895302,NA
"FAT1",9.90345705004898,-0.995212375326683,0.857620481520422,-1.16043447745363,0.245871956320762,NA
"FLJ38576",1.08444372608209,-0.0112859080662531,2.22600575666062,-0.00507002645095752,0.995954721502687,NA
